TIME,SRC_ID,DST_ID,SETUP_ID,BURST_ID,INSTANCE_ID,SNR
0,28,0,1,1,1,35.2404
831979.857081673,28,0,1,1,2,35.2404
5053488.07654483,28,0,1,1,5,35.2404
7159654.24490259,28,0,1,1,7,35.2404
8108445.97885688,28,0,1,1,8,35.2404
14231820.4464129,28,0,1,1,13,35.2404
22287343.0241478,28,0,1,1,21,35.2404
35988702.9673341,28,0,1,1,32,35.2404
49767966.1269649,28,0,1,1,43,35.2404
52504459.6426361,28,0,1,1,45,35.2404
53230418.4139802,28,0,1,1,46,35.2404
69750055.902393,28,0,1,1,57,35.2404
75638565.2005738,28,0,1,1,59,35.2404
100000000,28,0,1,2,1,35.2404
106671321.003153,28,0,1,2,5,35.2404
124721569.002168,28,0,1,2,19,35.2404
128131553.935307,28,0,1,2,22,35.2404
141464354.070026,28,0,1,2,33,35.2404
145212226.434373,28,0,1,2,36,35.2404
156383254.806928,28,0,1,2,44,35.2404
168617760.709037,28,0,1,2,55,35.2404
170614349.250235,28,0,1,2,57,35.2404
200000000,28,0,1,3,1,35.2404
204669505.424806,28,0,1,3,6,35.2404
207525103.799707,28,0,1,3,9,35.2404
212578774.559068,28,0,1,3,12,35.2404
224754351.757544,28,0,1,3,22,35.2404
231403872.857722,28,0,1,3,27,35.2404
235504657.943452,28,0,1,3,31,35.2404
236388276.659622,28,0,1,3,32,35.2404
241939748.389363,28,0,1,3,37,35.2404
242879214.291468,28,0,1,3,38,35.2404
243581456.140478,28,0,1,3,39,35.2404
246612227.759688,28,0,1,3,42,35.2404
260842396.594926,28,0,1,3,51,35.2404
263954507.772459,28,0,1,3,54,35.2404
264652435.312125,28,0,1,3,55,35.2404
300000000,28,0,1,4,1,35.2404
302500642.911944,28,0,1,4,3,35.2404
320712515.719266,28,0,1,4,21,35.2404
331740363.357488,28,0,1,4,28,35.2404
365622526.275101,28,0,1,4,53,35.2404
366957803.45036,28,0,1,4,54,35.2404
400000000,28,0,1,5,1,35.2404
403218317.765783,28,0,1,5,4,35.2404
408750377.653535,28,0,1,5,9,35.2404
411340249.442127,28,0,1,5,11,35.2404
426390355.364048,28,0,1,5,24,35.2404
428226197.68771,28,0,1,5,25,35.2404
440845640.458022,28,0,1,5,33,35.2404
445978326.635353,28,0,1,5,37,35.2404
462579561.32375,28,0,1,5,49,35.2404
479552812.870678,28,0,1,5,61,35.2404
500000000,28,0,1,6,1,35.2404
503594763.292142,28,0,1,6,4,35.2404
504297630.58937,28,0,1,6,5,35.2404
514953570.328805,28,0,1,6,13,35.2404
522231870.078332,28,0,1,6,19,35.2404
524768137.906471,28,0,1,6,21,35.2404
529438694.295073,28,0,1,6,25,35.2404
535159687.284072,28,0,1,6,31,35.2404
539850138.715984,28,0,1,6,34,35.2404
541095433.308782,28,0,1,6,35,35.2404
542502819.038218,28,0,1,6,36,35.2404
547665838.29126,28,0,1,6,40,35.2404
549835473.815791,28,0,1,6,42,35.2404
554431756.168858,28,0,1,6,47,35.2404
555387271.398372,28,0,1,6,48,35.2404
562892893.073982,28,0,1,6,54,35.2404
573377378.853985,28,0,1,6,63,35.2404
600000000,28,0,1,7,1,35.2404
611334713.294453,28,0,1,7,8,35.2404
619951199.855839,28,0,1,7,15,35.2404
624575665.639347,28,0,1,7,19,35.2404
629531739.846356,28,0,1,7,23,35.2404
631850492.323463,28,0,1,7,25,35.2404
636792222.183421,28,0,1,7,30,35.2404
638711820.744176,28,0,1,7,32,35.2404
661287951.45228,28,0,1,7,49,35.2404
663385700.447017,28,0,1,7,51,35.2404
671049142.353519,28,0,1,7,57,35.2404
700000000,28,0,1,8,1,35.2404
710468031.4967,28,0,1,8,8,35.2404
731398811.268895,28,0,1,8,22,35.2404
732184608.536453,28,0,1,8,23,35.2404
733797666.851381,28,0,1,8,24,35.2404
741970475.889995,28,0,1,8,30,35.2404
754490757.302892,28,0,1,8,39,35.2404
756176725.300372,28,0,1,8,40,35.2404
758941573.675881,28,0,1,8,42,35.2404
759651965.242139,28,0,1,8,43,35.2404
761272703.89519,28,0,1,8,44,35.2404
769168064.034554,28,0,1,8,51,35.2404
782401085.688568,28,0,1,8,60,35.2404
800000000,28,0,1,9,1,35.2404
845181234.37579,28,0,1,9,32,35.2404
846490555.661974,28,0,1,9,33,35.2404
847212151.658947,28,0,1,9,34,35.2404
848924474.706775,28,0,1,9,35,35.2404
855872020.643536,28,0,1,9,40,35.2404
861784270.153049,28,0,1,9,43,35.2404
869940162.20491,28,0,1,9,50,35.2404
881307772.336612,28,0,1,9,58,35.2404
883144929.35183,28,0,1,9,60,35.2404
900000000,28,0,1,10,1,35.2404
903448956.869996,28,0,1,10,3,35.2404
907739901.507635,28,0,1,10,6,35.2404
914062125.177564,28,0,1,10,10,35.2404
915501212.6541,28,0,1,10,11,35.2404
921672276.232024,28,0,1,10,15,35.2404
925569257.814414,28,0,1,10,18,35.2404
932533849.323623,28,0,1,10,22,35.2404
950480135.831618,28,0,1,10,37,35.2404
952781009.666447,28,0,1,10,39,35.2404
958950821.801013,28,0,1,10,44,35.2404
960630665.724405,28,0,1,10,45,35.2404
967692976.388398,28,0,1,10,51,35.2404
968622304.925689,28,0,1,10,52,35.2404
978136174.838548,28,0,1,10,59,35.2404
983378620.722502,28,0,1,10,62,35.2404
984930750.863446,28,0,1,10,63,35.2404
